fraction,n,repeat,class,auc
0.71,703,7,宏平均,0.7879117522860039
0.71,703,8,观察,0.7195798264500554
0.71,703,8,内镜,0.7171474358974359
0.71,703,8,手术,0.9239148650913357
0.71,703,8,宏平均,0.7868807091462756
0.71,703,9,观察,0.7120114830038493
0.71,703,9,内镜,0.7228231837606838
0.71,703,9,手术,0.9341377576671694
0.71,703,9,宏平均,0.7896574748105675
0.85,842,0,观察,0.7229725321328374
0.85,842,0,内镜,0.7280315170940171
0.85,842,0,手术,0.9358136416959947
0.85,842,0,宏平均,0.7956058969742831
0.85,842,1,观察,0.7149474783062569
0.85,842,1,内镜,0.7098691239316239
0.85,842,1,手术,0.9332998156527568
0.85,842,1,宏平均,0.7860388059635458
0.85,842,2,观察,0.7281268349970639
0.85,842,2,内镜,0.7220219017094017
0.85,842,2,手术,0.9341377576671694
0.85,842,2,宏平均,0.7947621647912116
0.85,842,3,观察,0.7156651660468455
0.85,842,3,内镜,0.7138755341880342
0.85,842,3,手术,0.9250879839115131
0.85,842,3,宏平均,0.7848762280487976
0.85,842,4,观察,0.7254518170548705
0.85,842,4,内镜,0.7168803418803419
0.85,842,4,手术,0.9339701692642869
0.85,842,4,宏平均,0.7921007760664999
0.85,842,5,观察,0.7152737000065243
0.85,842,5,内镜,0.7141426282051283
0.85,842,5,手术,0.9366515837104072
0.85,842,5,宏平均,0.7886893039740199
0.85,842,6,观察,0.715469433026685
0.85,842,6,内镜,0.7122061965811965
0.85,842,6,手术,0.9358136416959946
0.85,842,6,宏平均,0.7878297571012921
0.85,842,7,观察,0.7253213283747636
0.85,842,7,内镜,0.7178151709401711
0.85,842,7,手术,0.9314563432210491
0.85,842,7,宏平均,0.7915309475119946
0.85,842,8,观察,0.7312585633196321
0.85,842,8,内镜,0.734775641025641
0.85,842,8,手术,0.9319591084296966
0.85,842,8,宏平均,0.7993311042583233
0.85,842,9,观察,0.7344555359822534
0.85,842,9,内镜,0.7303018162393162
0.85,842,9,手术,0.9322942852354617
0.85,842,9,宏平均,0.7990172124856771
1.0,990,0,观察,0.73047563123899
1.0,990,0,内镜,0.7294337606837606
1.0,990,0,手术,0.9316239316239315
1.0,990,0,宏平均,0.7971777745155607
1.0,990,1,观察,0.7220591113720884
1.0,990,1,内镜,0.7148771367521368
1.0,990,1,手术,0.934305346070052
1.0,990,1,宏平均,0.7904138647314257
1.0,990,2,观察,0.7316500293599529
1.0,990,2,内镜,0.7287660256410255
1.0,990,2,手术,0.9314563432210491
1.0,990,2,宏平均,0.7972907994073425
1.0,990,3,观察,0.725125595354603
1.0,990,3,内镜,0.7192174145299146
1.0,990,3,手术,0.9327970504441092
1.0,990,3,宏平均,0.7923800201095422
1.0,990,4,观察,0.7228420434527305
1.0,990,4,内镜,0.7146100427350428
1.0,990,4,手术,0.9292776939835763
1.0,990,4,宏平均,0.7889099267237832
1.0,990,5,观察,0.7267567038559405
1.0,990,5,内镜,0.7250934829059829
1.0,990,5,手术,0.9302832244008714
1.0,990,5,宏平均,0.7940444703875983
1.0,990,6,观察,0.7294317217981341
1.0,990,6,内镜,0.7286992521367521
1.0,990,6,手术,0.9321266968325791
1.0,990,6,宏平均,0.7967525569224884
1.0,990,7,观察,0.732693938800809
1.0,990,7,内镜,0.7365785256410255
1.0,990,7,手术,0.9364839953075247
1.0,990,7,宏平均,0.8019188199164531
1.0,990,8,观察,0.7292359887779735
1.0,990,8,内镜,0.7228899572649572
1.0,990,8,手术,0.9297804591922239
1.0,990,8,宏平均,0.7939688017450516
1.0,990,9,观察,0.7308018529392575
1.0,990,9,内镜,0.7302350427350427
1.0,990,9,手术,0.9309535780124015
1.0,990,9,宏平均,0.7973301578955673
